2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 64, modifiers_mask = 64, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 66, modifiers_mask = 66, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 80, modifiers_mask = 80, modifiers_state = 80, mods_match = yes
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 82, modifiers_mask = 82, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 64, modifiers_mask = 64, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 66, modifiers_mask = 66, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 80, modifiers_mask = 80, modifiers_state = 80, mods_match = yes
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 82, modifiers_mask = 82, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 64, modifiers_mask = 64, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 66, modifiers_mask = 66, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 80, modifiers_mask = 80, modifiers_state = 80, mods_match = yes
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 82, modifiers_mask = 82, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 64, modifiers_mask = 64, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 66, modifiers_mask = 66, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 80, modifiers_mask = 80, modifiers_state = 80, mods_match = yes
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 64, modifiers_mask = 64, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 66, modifiers_mask = 66, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 80, modifiers_mask = 80, modifiers_state = 80, mods_match = yes
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 82, modifiers_mask = 82, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 64, modifiers_mask = 64, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 66, modifiers_mask = 66, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 80, modifiers_mask = 80, modifiers_state = 80, mods_match = yes
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 82, modifiers_mask = 82, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 64, modifiers_mask = 64, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 66, modifiers_mask = 66, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 80, modifiers_mask = 80, modifiers_state = 80, mods_match = yes
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 82, modifiers_mask = 82, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 64, modifiers_mask = 64, modifiers_state = 80, mods_match = no
2021-10-27 11:21:20 - ../i3-4.20/src/bindings.c:get_binding:240 - binding_keycode->modifiers = 66, modifiers_mask = 66, modifiers_state = 80, mods_match = no
